,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Parameters,Inference (ms),Training Time (s)
Custom CNN,0.999,0.9986675549633578,0.9993333333333333,0.9990003332222592,0.999965,456385.0,20.31,1032
MobileNetV2,0.9991666666666666,0.9990003332222592,0.9993333333333333,0.9991668055324112,0.9999933333333332,2586177.0,127.07,714
ResNet50,0.9948333333333333,0.997319932998325,0.9923333333333333,0.9948203842940685,0.9998626111111112,24112513.0,115.37,2460
